time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-08-07T06:24:33.280Z,18.9798,-64.9885,13,3.56,md,12,258,0.627,0.41,pr,pr2024220000,2024-08-07T06:52:40.977Z,"70 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.54,4.43,0.19,11,reviewed,pr,pr
2024-08-07T06:19:57.680Z,35.1058333,-119.1101667,2.17,2.83,ml,61,23,0.05185,0.32,ci,ci40866144,2024-08-07T09:58:30.279Z,"24 km NW of Grapevine, CA",earthquake,0.25,1.38,0.137,27,automatic,ci,ci
2024-08-07T06:17:06.580Z,35.1113333,-119.1156667,2.44,2.66,ml,56,29,0.05875,0.31,ci,ci40866104,2024-08-07T10:12:55.157Z,"25 km SW of Lamont, CA",earthquake,0.26,1.51,0.154,25,automatic,ci,ci
2024-08-07T06:05:22.550Z,35.0936667,-119.0966667,1.73,2.45,ml,59,22,0.03654,0.26,ci,ci40866032,2024-08-07T09:26:03.584Z,"23 km NW of Grapevine, CA",earthquake,0.21,1.16,0.221,26,automatic,ci,ci
2024-08-07T05:56:25.390Z,35.1106667,-119.1115,1.82,2.5,ml,58,24,0.0567,0.29,ci,ci40865976,2024-08-07T10:15:33.235Z,"24 km SW of Lamont, CA",earthquake,0.23,1.37,0.144,25,automatic,ci,ci
2024-08-07T05:49:34.530Z,35.1078333,-119.1265,5.98,2.56,ml,38,51,0.06033,0.26,ci,ci40865928,2024-08-07T09:29:45.684Z,"26 km ENE of Maricopa, CA",earthquake,0.33,1.12,0.224,14,automatic,ci,ci
2024-08-07T05:49:03.230Z,35.0956667,-119.0646667,2.5,2.57,ml,60,20,0.04017,0.34,ci,ci40865920,2024-08-07T10:20:17.452Z,"21 km NW of Grapevine, CA",earthquake,0.27,1.38,0.139,25,automatic,ci,ci
2024-08-07T05:48:42.630Z,35.108,-119.1088333,1.36,2.55,ml,18,204,0.2319,0.25,ci,ci40865912,2024-08-07T10:19:57.158Z,"24 km SW of Lamont, CA",earthquake,0.67,1.88,0.243,7,automatic,ci,ci
2024-08-07T05:48:05.410Z,35.105,-119.1143333,2.48,2.88,ml,66,24,0.05263,0.3,ci,ci40865904,2024-08-07T08:48:57.992Z,"25 km NW of Grapevine, CA",earthquake,0.23,1.47,0.181,25,automatic,ci,ci
2024-08-07T05:39:58.659Z,61.3274,-150.6587,50.8,2.7,ml,,,,0.78,ak,ak024a3xg01s,2024-08-07T06:31:55.040Z,"25 km SSW of Susitna, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2024-08-07T05:39:57.640Z,35.0995,-119.1175,2.39,2.75,ml,62,23,0.04929,0.3,ci,ci40865864,2024-08-07T09:18:45.295Z,"24 km NW of Grapevine, CA",earthquake,0.25,1.45,0.228,26,automatic,ci,ci
2024-08-07T05:34:23.010Z,35.0950012,-119.1110001,11.89,3.24,ml,83,24,0.04262,0.29,ci,ci40865832,2024-08-07T10:21:29.769Z,"24 km NW of Grapevine, CA",earthquake,0.24,0.84,0.375,23,automatic,ci,ci
2024-08-07T05:26:27.700Z,19.1401672363281,-155.489837646484,28,2.65,ml,8,249,0.1584,0.0599999987,hv,hv74388786,2024-08-07T05:29:04.940Z,"7 km S of Pāhala, Hawaii",earthquake,2.06,1.04999995,0.44,9,automatic,hv,hv
2024-08-07T05:20:34.888Z,17.4597,-83.2273,10,4.6,mb,53,42,3.704,1.07,us,us6000nij5,2024-08-07T06:06:43.040Z,"215 km NNE of Barra Patuca, Honduras",earthquake,6.85,1.93,0.063,76,reviewed,us,us
2024-08-07T05:14:32.680Z,35.0965,-119.1313333,0.38,2.68,ml,54,33,0.05431,0.33,ci,ci40865728,2024-08-07T07:49:01.718Z,"25 km E of Maricopa, CA",earthquake,0.3,0.96,0.223,26,automatic,ci,ci
2024-08-07T05:06:15.420Z,35.119,-119.099,2.27,2.65,ml,59,22,0.06154,0.3,ci,ci40865688,2024-08-07T09:54:11.884Z,"23 km SW of Lamont, CA",earthquake,0.24,1.32,0.191,25,automatic,ci,ci
